Taxa	ADW	FW	ML	pSL	RL	SL	TL
1614/468-3	0.0376933151619761	0.479687253227729	1.6450134563846	16.3160437909298	18.5715744175413	17.9168639961068	36.7237918977007
1614/DM101B	0.0323385800203367	0.397341088878929	2.01901600188901	16.4468544140893	19.2181403623546	18.4874310200689	37.894566039577
changK/468-3	0.0279957633306606	0.34705996357683	1.7126601631681	13.3612942984858	15.701186667566	15.035146856721	31.009889235557
changK/DM101B	0.0262092622362388	0.314880040097857	1.88786694925098	13.373536494266	17.759665500963	15.3018424923072	33.5767021092985
gan41/1614	0.0326603431457997	0.375984647531128	1.57074886610794	15.1029621641712	18.7062916137944	16.5194633621315	35.6393035292466
gan41/changK	0.0254659672007522	0.29686942060944	1.84690360572107	13.1714673290392	19.1325879841481	14.8989593401056	34.6754848069342
huotanghuang/1614	0.0318190378500305	0.391697532403875	1.80383965340419	13.8235478435688	17.2251132533775	15.5900192946603	33.2549258592622
huotanghuang/changK	0.0362801451238554	0.402728254466451	1.75780692749348	14.900301449193	18.9098208894213	16.5326661329991	36.073757690558
huotanghuang/gan41	0.0364284170970219	0.445558322831845	2.26649665713418	17.1636993098401	21.6776322699598	19.5791669415207	41.7849891714714
yuanwu05/changK	0.0459151525841784	0.437460947497437	1.89834127301865	18.8299178134593	22.7101679095681	20.7166809373739	43.6893295581399
yuanwu05/gan41	0.0410242133996888	0.542471042775809	2.12288241358376	21.0844538463204	25.0181317891512	23.2267312947309	48.4914568130438
yuanwu05/huotanghuang	0.0408133970555298	0.51074233307237	2.12916600870884	21.2692755057746	25.8632022243483	23.422140808323	49.6782076046304
ji432/gan41	0.0332661719346364	0.385675710789721	1.82909461396584	17.3779410652045	21.738733420271	19.1498809240935	41.1736987807789
ji432/huotanghuang	0.0405814990769549	0.496724096522142	2.12750452018454	20.3607170138084	24.3790465999171	22.509040136265	47.1831335721503
ji432/yuanwu05	0.0364284170970219	0.426027402608311	2.16619226703615	20.9867165887979	24.6701837115443	23.1612189218872	48.170053475813
DM07/2MA22	0.0273633142981835	0.341238460028465	1.78155020371452	13.5289270257195	12.3320778216825	15.2889772054742	27.4530906946817
DM07/xuan6	0.0362176007528629	0.416453204441601	1.85143368377357	18.9538636598531	21.8256687890898	20.7649677818879	42.8739024044158
DM07/5707	0.0313688248372051	0.375163023929982	2.32051166171522	17.6299110468199	21.8400156726046	20.020085796605	42.1447661518188
DM07/FBHJ	0.0448610708633832	0.485935602398063	2.44035439019391	23.6620155995178	26.1961494494406	25.9450650029679	52.4869889554114
