Taxa	ADW	FW	ML	pSL	RL	SL	TL
E601	0.0186055980589952	0.242826983854299	1.39620445700615	12.830466836257	8.35819514653466	14.2286935638379	21.8639720345783
E8501	0.0152257540404696	0.233555743716274	1.55399463105362	11.8909341540568	13.3814816740987	13.4457330897072	26.8009306380033
equn3	0.0175119296766602	0.278985215023884	1.49704892532682	8.62699773736386	11.7048942375805	10.0849136780662	22.1161771047156
equn4	0.016844257206916	0.29448844781612	1.1239471847946	11.4202754108065	13.3885250754906	12.5383259646191	25.9565674346472
F7584	0.0167467654886878	0.251237983871226	1.55828127947392	9.93609165014628	9.85000189323806	11.5405005908784	21.2016268428799
fangyin	0.0263945555517692	0.34968577033482	1.10318311079335	13.8917011079111	12.5591066032357	15.0048108337696	27.3097982117274
FBHJ	0.0200127380493305	0.264335911597345	1.13545627015003	13.7310341186178	13.0390032902696	14.8353218679797	27.7043782639629
fu8527	0.0216213514000948	0.294222854564557	2.33307681259537	14.3751087426572	14.4631374890401	16.7092879803321	30.9222798158432
fu8701	0.0117563298600253	0.226315776839182	1.84476473289438	10.2002779815011	8.79119938098513	12.1088977508559	20.6224960920369
fu96	0.0178679202483114	0.249871979362842	1.34633316521172	12.4860574456548	9.9258403894135	13.8778811880749	23.4282513741332
gan41	0.014914652776144	0.202802749689862	1.52154050766906	8.7790838927543	9.84276772172506	10.2379878533418	20.0094814295669
GN4095	0.0107430631225588	0.208029665676272	2.51734581852358	9.40578872838209	9.64835025276551	11.9761850012786	21.4601836101645
H114	0.0111653646201269	0.26379726602298	2.25613127362281	11.9556700898027	11.8436105457903	14.23190383321	25.8846446100164
hai9-21	0.0212676225995196	0.346242832205334	1.61317127791559	15.4707831329729	14.1543861603516	17.0224394207961	31.2512290534744
han21	0.0152356438561517	0.261747272315015	1.50634857013332	10.416273437486	13.9629790076931	11.9692824697034	26.0554231073062
han49	0.0167537577263959	0.228945063267856	1.9061452501016	9.97969387421781	7.60696446196417	11.9187681635249	19.0143687740608
HB8229	0.0146506935467828	0.225556421388548	2.20336350135351	10.9629612311706	11.5859266960257	13.2133585814352	24.5877366421669
HBAI	0.0157962212359635	0.277226112747777	1.43862629767494	10.4451655574678	12.1861051630467	11.9014626227655	24.042127204432
