Gene	SD
Zm00001d000196	36.3013333277827
Zm00001d000197	37.3256142835561
Zm00001d000199	11.5181926988516
Zm00001d000202	41.4733114619423
Zm00001d000204	23.1733884808001
Zm00001d000205	14.3041339370627
Zm00001d000213	20.9787425400679
Zm00001d000222	47.3886618533328
Zm00001d000223	14.6585467691694
Zm00001d000224	28.4823195714195
Zm00001d000226	22.4528182191729
Zm00001d000227	24.4154410552108
Zm00001d000229	38.3256060818713
Zm00001d000230	33.4957705540531
Zm00001d000233	35.8154077617768
Zm00001d000237	42.4543672738323
Zm00001d000240	9.49474602481088
Zm00001d000241	17.6947788897576
Zm00001d000247	23.8050250213013
Zm00001d000257	10.5897683626692
Zm00001d000259	63.6547524674971
Zm00001d000260	36.853342636453
Zm00001d000270	102.982650444525
Zm00001d000276	38.8199324698146
Zm00001d000277	38.0751943694678
Zm00001d000278	74.8856233170381
Zm00001d000279	85.4654401097377
Zm00001d000288	35.7422296992304
Zm00001d000291	24.2507161168335
Zm00001d000294	46.651610543796
Zm00001d000295	12.6651721615128
Zm00001d000298	29.2812394129517
Zm00001d000299	34.6078367615711
Zm00001d000300	10.2844824963072
Zm00001d000301	19.8995141545985
Zm00001d000302	18.0695337473035
Zm00001d000305	15.9030931608238
Zm00001d000307	24.1394316555817
Zm00001d000308	38.8505146477321
Zm00001d000310	39.0012453217628
Zm00001d000311	18.0454994877707
Zm00001d000312	31.2160411906661
Zm00001d000313	12.2636809464189
Zm00001d000314	14.7928670515615
Zm00001d000316	30.9768544156773
Zm00001d000328	23.5288057052321
Zm00001d000329	15.350818584022
Zm00001d000339	43.948403003416
Zm00001d000345	18.7476197161213
Zm00001d000346	22.5970212251697
Zm00001d000349	23.4068812069813
Zm00001d000350	29.2858900244421
Zm00001d000357	21.6117304099332
Zm00001d000358	26.2196212468617
Zm00001d000370	26.3937207285656
Zm00001d000379	12.9053889259836
Zm00001d000380	40.1404329348827
Zm00001d000381	25.8314012576518
Zm00001d000390	60.6785964418076
Zm00001d000391	26.2326213813538
Zm00001d000396	11.1254531496524
Zm00001d000399	43.8018754978411
Zm00001d000401	24.4306031438354
Zm00001d000402	32.603837937287
Zm00001d000403	18.0612411397825
Zm00001d000407	20.2938184402643
Zm00001d000408	23.8683081125459
Zm00001d000419	30.8811030390924
Zm00001d000424	28.6190174604234
Zm00001d000428	19.9323456062042
Zm00001d000430	12.8678500571725
Zm00001d000432	17.2748268192977
Zm00001d000434	60.25308466107
Zm00001d000435	21.3149462438236
Zm00001d000436	11.1150211614232
Zm00001d000439	20.2551619092057
Zm00001d000443	32.1682522567001
Zm00001d000482	42.7414277008948
Zm00001d000501	35.1715550926094
Zm00001d000506	70.2230807719303
Zm00001d000508	42.9688655653869
Zm00001d000522	19.961435117399
Zm00001d000523	24.2395270588019
Zm00001d000526	22.6713660119974
Zm00001d000551	29.3842592410087
Zm00001d000688	50.391503688041
Zm00001d000707	23.4581411238641
Zm00001d000709	39.0693370867051
Zm00001d000791	37.7493496833684
Zm00001d000824	48.4838308248382
Zm00001d000825	63.5213249988339
Zm00001d000849	28.2872719871688
Zm00001d000874	146.830386678566
Zm00001d000896	44.9418540217274
Zm00001d000967	39.2297724973929
Zm00001d000970	27.9073015698046
Zm00001d001006	22.3177135260722
Zm00001d001080	32.094048602697
Zm00001d001082	43.5895462926854
Zm00001d001083	27.3823253607781
Zm00001d001087	28.1211979582989
Zm00001d001172	25.9749720528165
Zm00001d001230	36.6879888510382
Zm00001d001250	25.661723827022
Zm00001d001256	39.7403008322829
Zm00001d001276	96.7798976723151
Zm00001d001399	60.216801450843
Zm00001d001432	51.4336658594757
Zm00001d001471	25.4557422863412
Zm00001d001472	30.3864878002078
Zm00001d001490	17.0109138292035
Zm00001d001491	70.5840318217914
Zm00001d001551	24.9295397758304
Zm00001d001566	27.7616201929161
Zm00001d001688	42.4336558793863
Zm00001d001700	23.4186929880065
Zm00001d001756	35.6959511801025
Zm00001d001763	26.7926790492732
Zm00001d001765	12.8132137155209
Zm00001d001766	23.3623765521201
Zm00001d001767	26.1928238114655
Zm00001d001771	42.1907032864476
Zm00001d001774	85.6550205074149
Zm00001d001779	80.5527113095438
Zm00001d001780	12.4796211639954
Zm00001d001781	22.0344394417125
Zm00001d001784	25.3353636526793
Zm00001d001785	19.3549420317839
Zm00001d001786	21.7214767159444
Zm00001d001787	14.4537245645068
Zm00001d001788	17.1933770722177
Zm00001d001789	13.1811968892753
Zm00001d001790	14.4169325634293
Zm00001d001791	26.7974242479618
Zm00001d001797	15.8244842622728
Zm00001d001798	12.2309470585577
Zm00001d001799	17.0425126432787
Zm00001d001800	16.1559296366772
Zm00001d001802	17.3975731545192
Zm00001d001803	17.683762600556
Zm00001d001804	25.8091749344529
Zm00001d001806	30.4354502869238
Zm00001d001807	15.5973298580066
Zm00001d001808	13.0413533783981
Zm00001d001809	12.1152179062881
Zm00001d001812	40.0110988567346
Zm00001d001813	12.9356127621788
Zm00001d001814	12.6674340986202
Zm00001d001820	94.1757843743388
Zm00001d001824	28.8146249976159
Zm00001d001825	23.282734969195
Zm00001d001826	46.9265010840234
Zm00001d001827	14.8844815449274
Zm00001d001828	28.4614660934553
Zm00001d001830	12.6242239000917
Zm00001d001831	17.8756087205179
Zm00001d001832	32.3812968820794
Zm00001d001834	14.488551358023
Zm00001d001837	15.8718079501245
Zm00001d001839	50.7754746560476
Zm00001d001843	27.6939954787382
Zm00001d001844	22.6009724109789
Zm00001d001846	15.1099027709445
Zm00001d001847	16.5561306950293
Zm00001d001848	29.9711340354103
Zm00001d001849	27.3787938140659
Zm00001d001855	20.4485501088735
Zm00001d001856	13.2975161364562
Zm00001d001857	40.7330174655862
Zm00001d001858	32.1108189446253
Zm00001d001859	15.8373121082666
Zm00001d001860	36.65175912181
Zm00001d001861	15.25756150729
Zm00001d001862	48.4171284657264
Zm00001d001866	28.1992237118137
Zm00001d001868	10.7070681046046
Zm00001d001869	22.8227844765476
Zm00001d001870	13.1304067654413
Zm00001d001871	25.6069243090453
Zm00001d001877	13.2629433173373
Zm00001d001879	23.8122388171794
Zm00001d001880	20.4736855401863
Zm00001d001881	16.1951717317303
Zm00001d001882	19.0110792006348
Zm00001d001883	27.0594965776997
Zm00001d001884	17.7135251223164
Zm00001d001895	10.5593874828345
Zm00001d001896	29.7480769103121
Zm00001d001897	14.9589760080909
Zm00001d001898	10.3553822703867
Zm00001d001899	28.3350091348779
Zm00001d001900	28.0807399764287
Zm00001d001901	18.9508747006244
Zm00001d001902	26.7179897773553
Zm00001d001903	13.4219277355612
Zm00001d001905	50.8413868468511
Zm00001d001907	58.9775193243242
Zm00001d001908	14.8728502651791
Zm00001d001909	17.3974626137871
Zm00001d001910	27.8113199319066
Zm00001d001913	11.5494254433401
Zm00001d001914	17.7713415218963
Zm00001d001915	24.3069042332858
Zm00001d001928	29.3510310620047
Zm00001d001929	12.2991825884915
Zm00001d001932	13.6723800397115
Zm00001d001933	19.376279623345
Zm00001d001935	18.0038635238934
Zm00001d001937	10.0406064437786
Zm00001d001939	17.8131572311797
Zm00001d001940	18.1702070377446
Zm00001d001941	14.8233717343342
Zm00001d001943	40.0392421858135
Zm00001d001946	14.1527288898185
Zm00001d001947	16.6580041277008
Zm00001d001949	15.8741426391975
Zm00001d001951	16.8178518012039
Zm00001d001952	14.2486354317913
Zm00001d001953	17.420434348384
Zm00001d001959	15.0463676579756
Zm00001d001960	72.9649366010835
Zm00001d001962	14.7448423873306
Zm00001d001964	44.0876683877417
Zm00001d001966	8.6130932878368
Zm00001d001967	14.6861035218301
Zm00001d001968	21.2672453682954
Zm00001d001972	18.7478933332089
Zm00001d001973	16.9036367675359
Zm00001d001974	15.1017467117188
Zm00001d001978	20.9462629240321
Zm00001d001979	11.6778300774337
Zm00001d001980	13.4280143009994
Zm00001d001982	28.7642645240303
Zm00001d001983	11.7971469104735
Zm00001d001984	34.8212161513639
Zm00001d001987	21.1563173728132
Zm00001d001988	14.6025362691934
Zm00001d001989	47.4789426420217
Zm00001d001994	19.8340755420673
Zm00001d001995	19.9074666330903
Zm00001d001997	19.1231431247461
Zm00001d001999	11.4790159831361
