Gene	Media	p-value	thr001	log2(F1/MP)	MPH_gene_Num	sig
Zm00001d014524	12.24399026	5.18E-58	1.68E-05	0.166638203	NA	additive
Zm00001d023376	12.24496428	5.99E-33	1.75E-05	0.166650722	186	Positive
Zm00001d031986	12.24992112	3.20E-102	1.73E-05	0.166714431	NA	additive
Zm00001d022038	12.250751	9.72E-38	1.69E-05	0.166725097	NA	additive
Zm00001d024718	12.25116026	1.11E-78	1.73E-05	0.166730357	NA	additive
Zm00001d046538	12.2518801	4.98E-85	1.73E-05	0.166739609	NA	additive
Zm00001d025104	12.25220726	1.73E-57	1.71E-05	0.166743814	NA	additive
Zm00001d043137	12.25446063	1.43E-44	1.72E-05	0.166772157	NA	additive
Zm00001d037494	12.2549925	1.12E-13	2.38E-05	0.166779598	NA	additive
Zm00001d044065	12.2574862	1.19E-17	1.87E-05	0.166806629	NA	additive
Zm00001d025793	12.25853642	1.45E-84	1.75E-05	0.166825155	NA	additive
Zm00001d004019	12.2634108	5.53E-58	1.68E-05	0.166887797	NA	additive
Zm00001d048217	12.26388822	1.95E-48	1.96E-05	0.166893933	NA	additive
Zm00001d040383	12.26569847	5.08E-61	1.72E-05	0.166917196	NA	additive
Zm00001d043483	12.26745589	1.40E-80	1.69E-05	0.16693978	NA	additive
Zm00001d028920	12.26815665	5.44E-68	1.69E-05	0.166948785	NA	additive
Zm00001d048312	12.26956895	4.72E-26	1.82E-05	0.166966933	NA	additive
Zm00001d003246	12.27337238	8.36E-52	1.72E-05	0.167015808	NA	additive
Zm00001d039059	12.27383606	3.52E-57	1.73E-05	0.167021766	44	Positive
Zm00001d025343	12.27913894	8.18E-26	2.21E-05	0.167089803	NA	additive
Zm00001d012556	12.28112868	2.10E-41	1.76E-05	0.167115471	94	Positive
Zm00001d025993	12.28357938	7.04E-12	2.30E-05	0.16714696	33	Positive
Zm00001d014745	12.28868706	8.96E-14	2.25E-05	0.167212585	NA	additive
Zm00001d039435	12.30298734	6.49E-53	1.72E-05	0.167396305	NA	additive
Zm00001d034664	12.30303996	5.20E-74	1.69E-05	0.167396981	NA	additive
Zm00001d041420	12.30611026	9.45E-70	1.73E-05	0.167436423	NA	additive
Zm00001d041476	12.3070736	6.89E-35	1.72E-05	0.167448798	NA	additive
Zm00001d004857	12.30743261	4.53E-66	1.70E-05	0.16745341	NA	additive
Zm00001d026590	12.30763731	1.95E-71	1.69E-05	0.167456039	NA	additive
Zm00001d050032	12.30821981	1.12E-42	1.73E-05	0.167463522	NA	additive
Zm00001d048907	12.31107658	3.24E-29	1.72E-05	0.167500213	NA	additive
Zm00001d014513	12.3121992	1.31E-44	1.71E-05	0.16751464	NA	additive
Zm00001d042264	12.31328724	1.12E-63	1.75E-05	0.167528616	NA	additive
Zm00001d049987	12.3308647	1.88E-18	2.30E-05	0.167754386	54	Positive
